Timestamp_ms,CPU_Usage,Memory_MB
1738864921808,0.0,1.62
1738864921813,0.0,1.62
1738864921818,0.0,1.62
1738864921823,0.0,1.62
1738864921828,0.0,1.62
1738864921834,0.0,1.62
1738864921839,0.0,1.62
1738864921844,0.0,1.62
1738864921850,0.0,1.62
1738864921855,0.0,1.62
1738864921860,0.0,1.62
1738864921865,0.0,1.62
1738864921871,0.0,1.62
1738864921876,0.0,1.62
1738864921881,0.0,1.62
1738864921886,0.0,1.62
1738864921891,0.0,1.62
1738864921896,0.0,1.62
1738864921902,0.0,1.62
1738864921907,0.0,1.62
1738864921912,0.0,1.62
1738864921917,0.0,1.62
1738864921922,0.0,1.62
1738864921927,0.0,1.62
1738864921933,0.0,1.62
1738864921938,0.0,1.62
1738864921943,0.0,1.62
1738864921948,0.0,1.62
1738864921953,0.0,1.62
1738864921959,0.0,1.62
1738864921964,0.0,1.62
1738864921969,0.0,1.62
1738864921974,0.0,1.62
1738864921979,0.0,1.62
1738864921985,0.0,1.62
1738864921990,0.0,1.62
1738864921995,0.0,1.62
1738864922000,0.0,1.62
1738864922006,0.0,1.62
1738864922011,0.0,1.62
1738864922017,0.0,1.62
1738864922022,0.0,1.62
1738864922027,0.0,1.62
1738864922032,0.0,1.62
1738864922037,0.0,1.62
1738864922043,0.0,1.62
1738864922048,0.0,1.62
1738864922053,0.0,1.62
1738864922058,0.0,1.62
1738864922063,0.0,1.62
1738864922068,0.0,1.62
1738864922073,0.0,1.62
1738864922078,0.0,1.62
1738864922084,0.0,1.62
1738864922089,0.0,1.62
1738864922094,0.0,1.62
1738864922099,0.0,1.62
1738864922105,0.0,1.62
1738864922110,0.0,1.62
1738864922115,0.0,1.62
1738864922120,0.0,1.62
1738864922125,0.0,1.62
1738864922131,0.0,1.62
1738864922136,0.0,1.62
1738864922142,0.0,1.62
1738864922148,0.0,1.62
1738864922153,0.0,1.62
1738864922158,0.0,1.62
1738864922164,0.0,1.62
1738864922169,0.0,1.62
1738864922175,0.0,1.62
